case	repeat	known	verdict	correct	quote_check	confidence	input_tokens	output_tokens	quote	reason	raw
corrupted-trace-b-on-3	5	unsupported	unsupported	yes	present	0.95	32346	238	Source Port: 19 bits	The transcript shows 'Source Port: 16 bits' while the summary claims 'Source Port: 19 bits', so at least one factual claim is incorrect.	{"verdict":"unsupported","quote":"Source Port: 19 bits","confidence":0.95,"reason":"The transcript shows 'Source Port: 16 bits' while the summary claims 'Source Port: 19 bits', so at least one factual claim is incorrect."}
corrupted-trace-b-on-3	7	unsupported	unsupported	yes	present	0.98	32346	209	Source Port: 19 bits	The transcript shows 'Source Port: 16 bits' from the fetched TCP page, so the summary's 'Source Port: 19 bits' is incorrect/unsupported.	{"verdict":"unsupported","quote":"Source Port: 19 bits","confidence":0.98,"reason":"The transcript shows 'Source Port: 16 bits' from the fetched TCP page, so the summary's 'Source Port: 19 bits' is incorrect/unsupported."}
corrupted-trace-b-on-3	6	unsupported	unsupported	yes	present	0.90	32346	632	Source Port: 19 bits	The transcript's fetched TCP content explicitly states Source Port is 16 bits, so the summary's '19 bits' claim is contradicted by the transcript.	{"verdict":"unsupported","quote":"Source Port: 19 bits","confidence":0.9,"reason":"The transcript's fetched TCP content explicitly states Source Port is 16 bits, so the summary's '19 bits' claim is contradicted by the transcript."}
corrupted-trace-b-on-3	8	unsupported	unsupported	yes	present	0.93	32346	398	Source Port: 19 bits	The transcript (fetched TCP page) records Source Port as 16 bits, so the summary's '19 bits' claim is not supported.	{"verdict":"unsupported","quote":"Source Port: 19 bits","confidence":0.93,"reason":"The transcript (fetched TCP page) records Source Port as 16 bits, so the summary's '19 bits' claim is not supported."}
corrupted-trace-b-on-3	9	unsupported	unsupported	yes	present	0.92	32346	672	Source Port: 19 bits	The transcript's fetched TCP page states 'Source Port: 16 bits', so the summary's claim of 'Source Port: 19 bits' is not supported and is incorrect.	{"verdict":"unsupported","quote":"Source Port: 19 bits","confidence":0.92,"reason":"The transcript's fetched TCP page states 'Source Port: 16 bits', so the summary's claim of 'Source Port: 19 bits' is not supported and is incorrect."}
real-trace-b-on-4	1	open	supported	n/a	n/a	0.98	39937	1463	none	Every factual claim in the summary is present in the transcript (from the fetched pages and search snippets) or matches wording shown in the transcript.	{"verdict":"supported","quote":"none","confidence":0.98,"reason":"Every factual claim in the summary is present in the transcript (from the fetched pages and search snippets) or matches wording shown in the transcript."}
real-trace-b-on-4	2	open	supported	n/a	n/a	0.93	39937	1318	none	All factual claims in the summary are directly present in the transcript (from the web_search and fetch_page outputs) and match verbatim or equivalently.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"All factual claims in the summary are directly present in the transcript (from the web_search and fetch_page outputs) and match verbatim or equivalently."}
real-trace-b-on-4	3	open	supported	n/a	n/a	0.94	39937	976	none	Each factual claim in the provided summary matches text or snippets present in the transcript (including fetched page contents and search results).	{"verdict":"supported","quote":"none","confidence":0.94,"reason":"Each factual claim in the provided summary matches text or snippets present in the transcript (including fetched page contents and search results)."}
real-trace-b-on-4	4	open	supported	n/a	n/a	0.95	39937	1186	none	Every factual claim in the summary appears verbatim or is directly supported by the transcript's fetched pages and search snippets.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every factual claim in the summary appears verbatim or is directly supported by the transcript's fetched pages and search snippets."}
real-trace-b-on-4	5	open	supported	n/a	n/a	0.90	39937	1273	none	All factual claims in the summary are directly present in the transcript (from the web_search snippets and fetched pages) either verbatim or as equivalent statements.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"All factual claims in the summary are directly present in the transcript (from the web_search snippets and fetched pages) either verbatim or as equivalent statements."}
real-trace-b-on-4	6	open	unsupported	n/a	present	0.85	39937	2164	{"ok":true,"url":"https://en.wikipedia.org/wiki/Transmission_Control_Protocol","title":"Transmission Control Protocol","chars":70763,"truncated":true,"cached":true,...}	The summary claims the fetch returned a JSON object with an "ok":true field verbatim, but the transcript's fetch metadata lists url/title/chars/truncated/cached without an "ok" field, so that exact claim is not supported.	{"verdict":"unsupported","quote":"{\"ok\":true,\"url\":\"https://en.wikipedia.org/wiki/Transmission_Control_Protocol\",\"title\":\"Transmission Control Protocol\",\"chars\":70763,\"truncated\":true,\"cached\":true,...}","confidence":0.85,"reason":"The summary claims the fetch returned a JSON object with an \"ok\":true field verbatim, but the transcript's fetch metadata lists url/title/chars/truncated/cached without an \"ok\" field, so that exact claim is not supported."}
real-trace-b-on-4	7	open	supported	n/a	n/a	0.92	39937	1288	none	Every factual claim in the summary matches text or fetch/web_search results present in the provided transcript.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every factual claim in the summary matches text or fetch/web_search results present in the provided transcript."}
real-trace-b-on-4	9	open	supported	n/a	n/a	0.95	39937	1250	none	Every factual claim in the summary appears verbatim or equivalently in the provided transcript (fetched pages and search snippets).	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every factual claim in the summary appears verbatim or equivalently in the provided transcript (fetched pages and search snippets)."}
real-trace-b-on-4	8	open	supported	n/a	n/a	0.93	39937	1325	none	Every factual claim in the summary appears verbatim in the transcript's web_search/fetch_page results and the compacted history, so all claims are supported.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Every factual claim in the summary appears verbatim in the transcript's web_search/fetch_page results and the compacted history, so all claims are supported."}
verbatim-trace-b-on-4	1	supported	supported	yes	n/a	0.94	39383	737	none	Each search, fetch, and the quoted TCP sentence in the summary appears verbatim in the transcript's tool calls and fetched page content.	{"verdict":"supported","quote":"none","confidence":0.94,"reason":"Each search, fetch, and the quoted TCP sentence in the summary appears verbatim in the transcript's tool calls and fetched page content."}
verbatim-trace-b-on-4	2	supported	supported	yes	n/a	0.93	39383	649	none	Every search, fetch action, and the quoted TCP sentence in the summary appear verbatim in the provided transcript and fetched-page content.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Every search, fetch action, and the quoted TCP sentence in the summary appear verbatim in the provided transcript and fetched-page content."}
verbatim-trace-b-on-4	4	supported	supported	yes	n/a	0.92	39383	601	none	Every factual claim in the summary (the specific searches and fetched URLs and the quoted TCP sentence) appears in the provided transcript content and fetch results.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every factual claim in the summary (the specific searches and fetched URLs and the quoted TCP sentence) appears in the provided transcript content and fetch results."}
verbatim-trace-b-on-4	3	supported	supported	yes	n/a	0.90	39383	757	none	Every claim in the summary corresponds to a web_search or fetch_page call or to text present in the fetched page content in the transcript.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every claim in the summary corresponds to a web_search or fetch_page call or to text present in the fetched page content in the transcript."}
verbatim-trace-b-on-4	5	supported	supported	yes	n/a	0.92	39383	402	none	All searches, fetches, and the quoted TCP sentence in the summary exactly match entries and fetched content present in the transcript.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"All searches, fetches, and the quoted TCP sentence in the summary exactly match entries and fetched content present in the transcript."}
verbatim-trace-b-on-4	6	supported	supported	yes	n/a	0.95	39383	949	none	Every search, fetch, and the quoted sentence in the summary appears verbatim in the transcript's tool calls and fetched page contents.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every search, fetch, and the quoted sentence in the summary appears verbatim in the transcript's tool calls and fetched page contents."}
verbatim-trace-b-on-4	7	supported	supported	yes	n/a	0.90	39383	777	none	Every search and fetch action listed in the summary matches tool calls in the transcript and the quoted TCP sentence appears verbatim in the fetched TCP page content.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every search and fetch action listed in the summary matches tool calls in the transcript and the quoted TCP sentence appears verbatim in the fetched TCP page content."}
verbatim-trace-b-on-4	8	supported	supported	yes	n/a	0.92	39383	608	none	Every claim in the summary corresponds to a recorded tool call or fetched page and the quoted TCP sentence appears verbatim in the fetched Transmission Control Protocol content in the transcript.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every claim in the summary corresponds to a recorded tool call or fetched page and the quoted TCP sentence appears verbatim in the fetched Transmission Control Protocol content in the transcript."}
verbatim-trace-b-on-4	9	supported	supported	yes	n/a	0.95	39383	812	none	Every web_search and fetch_page call listed in the summary appears in the transcript and the quoted TCP sentence is present in the fetched Transmission Control Protocol content.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every web_search and fetch_page call listed in the summary appears in the transcript and the quoted TCP sentence is present in the fetched Transmission Control Protocol content."}
corrupted-trace-b-on-4	1	unsupported	unsupported	yes	present	0.96	39937	705	Source Port: 19 bits;	The transcript shows the TCP Source Port field is 16 bits, but the summary incorrectly states it as 19 bits.	{"verdict":"unsupported","quote":"Source Port: 19 bits;","confidence":0.96,"reason":"The transcript shows the TCP Source Port field is 16 bits, but the summary incorrectly states it as 19 bits."}
corrupted-trace-b-on-4	2	unsupported	unsupported	yes	present	0.92	39937	510	- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The transcript shows Source Port is 16 bits (not 19), so the summary contains at least one claim that contradicts the transcript.	{"verdict":"unsupported","quote":"- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.92,"reason":"The transcript shows Source Port is 16 bits (not 19), so the summary contains at least one claim that contradicts the transcript."}
corrupted-trace-b-on-4	3	unsupported	unsupported	yes	present	0.95	39937	504	Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The transcript shows Source Port is 16 bits (not 19), so the summary's 'Source Port: 19 bits' claim is inconsistent with the fetched content.	{"verdict":"unsupported","quote":"Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.95,"reason":"The transcript shows Source Port is 16 bits (not 19), so the summary's 'Source Port: 19 bits' claim is inconsistent with the fetched content."}
corrupted-trace-b-on-4	4	unsupported	unsupported	yes	present	0.87	39937	428	- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The summary incorrectly states the Source Port is 19 bits while the transcript shows the Source Port field is 16 bits, so the summary contains an unsupported claim.	{"verdict":"unsupported","quote":"- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.87,"reason":"The summary incorrectly states the Source Port is 19 bits while the transcript shows the Source Port field is 16 bits, so the summary contains an unsupported claim."}
corrupted-trace-b-on-4	5	unsupported	unsupported	yes	present	0.92	39937	476	- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The transcript shows Source Port is 16 bits (not 19), so the summary contains at least one factual claim that contradicts the transcript.	{"verdict":"unsupported","quote":"- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.92,"reason":"The transcript shows Source Port is 16 bits (not 19), so the summary contains at least one factual claim that contradicts the transcript."}
corrupted-trace-b-on-4	6	unsupported	unsupported	yes	present	0.90	39937	390	- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The transcript shows Source Port is 16 bits (not 19), so the summary contains at least one factual mismatch.	{"verdict":"unsupported","quote":"- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.9,"reason":"The transcript shows Source Port is 16 bits (not 19), so the summary contains at least one factual mismatch."}
corrupted-trace-b-on-4	8	unsupported	unsupported	yes	present	0.96	39937	441	Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The transcript shows the TCP Source Port is 16 bits (not 19), so the summary's 'Source Port: 19 bits' claim is incorrect.	{"verdict":"unsupported","quote":"Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.96,"reason":"The transcript shows the TCP Source Port is 16 bits (not 19), so the summary's 'Source Port: 19 bits' claim is incorrect."}
corrupted-trace-b-on-4	7	unsupported	unsupported	yes	present	0.95	39937	588	Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The summary claims a 19-bit Source Port but the transcript shows Source Port: 16 bits, so at least one factual claim is incorrect.	{"verdict":"unsupported","quote":"Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.95,"reason":"The summary claims a 19-bit Source Port but the transcript shows Source Port: 16 bits, so at least one factual claim is incorrect."}
corrupted-trace-b-on-4	9	unsupported	unsupported	yes	present	0.98	39937	484	- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The summary incorrectly claims the Source Port is 19 bits, while the transcript/fetched TCP page shows Source Port is 16 bits.	{"verdict":"unsupported","quote":"- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.98,"reason":"The summary incorrectly claims the Source Port is 19 bits, while the transcript/fetched TCP page shows Source Port is 16 bits."}
real-trace-b-on-5	1	open	supported	n/a	n/a	0.95	54822	980	none	I checked each factual claim in the summary against the transcript and every claim (TCP, IPv6, and UTF-8 details) appears verbatim or equivalently in the transcript.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"I checked each factual claim in the summary against the transcript and every claim (TCP, IPv6, and UTF-8 details) appears verbatim or equivalently in the transcript."}
real-trace-b-on-5	2	open	supported	n/a	n/a	0.93	54822	898	none	Every factual claim in the summary appears in the transcript's tool calls, web_search snippets, or fetched page content, so all claims are supported.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Every factual claim in the summary appears in the transcript's tool calls, web_search snippets, or fetched page content, so all claims are supported."}
real-trace-b-on-5	4	open	supported	n/a	n/a	0.95	54822	982	none	Every factual claim in the summary appears verbatim in the transcript's fetched/search results and metadata, so all claims are supported.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every factual claim in the summary appears verbatim in the transcript's fetched/search results and metadata, so all claims are supported."}
real-trace-b-on-5	3	open	supported	n/a	n/a	0.90	54822	1334	none	Every factual claim in the summary appears verbatim in the transcript or in the fetched page contents shown in the transcript.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every factual claim in the summary appears verbatim in the transcript or in the fetched page contents shown in the transcript."}
real-trace-b-on-5	6	open	supported	n/a	n/a	0.90	54822	932	none	I checked each factual claim in the summary against the transcript and all of them appear verbatim or as directly supported excerpts from the fetched pages and search snippets in the transcript.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"I checked each factual claim in the summary against the transcript and all of them appear verbatim or as directly supported excerpts from the fetched pages and search snippets in the transcript."}
real-trace-b-on-5	5	open	supported	n/a	n/a	0.92	54822	1259	none	All factual claims in the summary are present verbatim or equivalently in the transcript (from the fetched pages and search snippets).	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"All factual claims in the summary are present verbatim or equivalently in the transcript (from the fetched pages and search snippets)."}
real-trace-b-on-5	7	open	supported	n/a	n/a	0.90	54822	767	none	All factual claims in the summary appear verbatim in the transcript or are directly supported by the fetched page contents shown in the transcript.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"All factual claims in the summary appear verbatim in the transcript or are directly supported by the fetched page contents shown in the transcript."}
real-trace-b-on-5	8	open	supported	n/a	n/a	0.92	54822	1299	none	All factual claims in the summary appear in the transcript (from the fetched pages and search snippets) or are direct quotes from those pages.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"All factual claims in the summary appear in the transcript (from the fetched pages and search snippets) or are direct quotes from those pages."}
real-trace-b-on-5	9	open	supported	n/a	n/a	0.92	54822	1248	none	All factual claims in the summary appear verbatim or are directly supported by the transcript's fetched page contents and search snippets.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"All factual claims in the summary appear verbatim or are directly supported by the transcript's fetched page contents and search snippets."}
verbatim-trace-b-on-5	1	supported	supported	yes	n/a	0.92	54297	584	none	Every search and fetch call and the quoted TCP sentence in the summary appear verbatim in the transcript, so all factual claims are present.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every search and fetch call and the quoted TCP sentence in the summary appear verbatim in the transcript, so all factual claims are present."}
verbatim-trace-b-on-5	2	supported	supported	yes	n/a	0.95	54297	711	none	Every search call, fetch call, and the quoted TCP sentence in the summary appear in the transcript exactly as stated.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every search call, fetch call, and the quoted TCP sentence in the summary appear in the transcript exactly as stated."}
verbatim-trace-b-on-5	3	supported	supported	yes	n/a	0.92	54297	759	none	Every search, fetch, and the quoted TCP sentence in the summary appear verbatim in the transcript and fetched-page contents, so all claims are supported.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every search, fetch, and the quoted TCP sentence in the summary appear verbatim in the transcript and fetched-page contents, so all claims are supported."}
verbatim-trace-b-on-5	5	supported	supported	yes	n/a	0.92	54297	425	none	All searches, fetches, and the quoted TCP sentence in the summary are present in the transcript's tool calls and fetched page content, so each factual claim is supported.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"All searches, fetches, and the quoted TCP sentence in the summary are present in the transcript's tool calls and fetched page content, so each factual claim is supported."}
verbatim-trace-b-on-5	4	supported	supported	yes	n/a	0.92	54297	919	none	Each web_search and fetch_page call listed in the summary appears in the transcript and the quoted TCP sentence is present verbatim in the fetched Transmission Control Protocol content.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Each web_search and fetch_page call listed in the summary appears in the transcript and the quoted TCP sentence is present verbatim in the fetched Transmission Control Protocol content."}
verbatim-trace-b-on-5	6	supported	supported	yes	n/a	0.95	54297	711	none	Every search and fetch mentioned in the summary appears in the transcript and the quoted TCP sentence is present verbatim in the fetched page content.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every search and fetch mentioned in the summary appears in the transcript and the quoted TCP sentence is present verbatim in the fetched page content."}
verbatim-trace-b-on-5	7	supported	supported	yes	n/a	0.91	54297	722	none	Every search and fetch call and the quoted TCP sentence in the summary appear verbatim in the transcript's tool calls and fetched page content.	{"verdict":"supported","quote":"none","confidence":0.91,"reason":"Every search and fetch call and the quoted TCP sentence in the summary appear verbatim in the transcript's tool calls and fetched page content."}
verbatim-trace-b-on-5	8	supported	supported	yes	n/a	0.95	54297	757	none	Every search, fetch, and the quoted TCP sentence in the summary appear verbatim in the transcript's tool calls and fetched page contents.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every search, fetch, and the quoted TCP sentence in the summary appear verbatim in the transcript's tool calls and fetched page contents."}
verbatim-trace-b-on-5	9	supported	supported	yes	n/a	0.95	54297	767	none	Every action and the quoted TCP sentence in the summary appear verbatim in the transcript (web_search and fetch_page calls and fetched content are all present).	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every action and the quoted TCP sentence in the summary appear verbatim in the transcript (web_search and fetch_page calls and fetched content are all present)."}
corrupted-trace-b-on-5	1	unsupported	unsupported	yes	present	0.92	54822	519	- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The summary claims the Source Port is 19 bits, but the transcript (fetched TCP content) records Source Port as 16 bits, so at least one factual claim is incorrect.	{"verdict":"unsupported","quote":"- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.92,"reason":"The summary claims the Source Port is 19 bits, but the transcript (fetched TCP content) records Source Port as 16 bits, so at least one factual claim is incorrect."}
corrupted-trace-b-on-5	2	unsupported	unsupported	yes	present	0.92	54822	622	- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The transcript shows Source Port: 16 bits (not 19 bits), so that claim in the summary is incorrect/unsupported by the transcript.	{"verdict":"unsupported","quote":"- Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.92,"reason":"The transcript shows Source Port: 16 bits (not 19 bits), so that claim in the summary is incorrect/unsupported by the transcript."}
corrupted-trace-b-on-5	3	unsupported	unsupported	yes	present	0.95	54822	405	Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits	The transcript explicitly states Source Port: 16 bits (not 19), so the summary's claim about Source Port is incorrect and therefore unsupported.	{"verdict":"unsupported","quote":"Source Port: 19 bits; Destination Port: 16 bits; Sequence Number: 32 bits; Acknowledgment Number: 32 bits","confidence":0.95,"reason":"The transcript explicitly states Source Port: 16 bits (not 19), so the summary's claim about Source Port is incorrect and therefore unsupported."}
corrupted-trace-b-on-5	5	unsupported	unsupported	yes	present	0.92	54822	495	Source Port: 19 bits;	The transcript shows 'Source Port: 16 bits' while the summary incorrectly states 'Source Port: 19 bits', so at least one factual claim is not supported.	{"verdict":"unsupported","quote":"Source Port: 19 bits;","confidence":0.92,"reason":"The transcript shows 'Source Port: 16 bits' while the summary incorrectly states 'Source Port: 19 bits', so at least one factual claim is not supported."}
